,gu,dong,code,income_level,pop_density,address,x,y
299,영등포구,신길7동,1156069000,8,26680,서울시 영등포구 신길7동,37.5063467,126.921449
300,영등포구,대림1동,1156070000,6,33331,서울시 영등포구 대림1동,37.4915426,126.8998126
301,영등포구,대림2동,1156071000,6,38855,서울시 영등포구 대림2동,37.4954266,126.9001326
302,영등포구,대림3동,1156072000,7,30145,서울시 영등포구 대림3동,37.49794079999999,126.9004287
303,동작구,노량진1동,1159051000,8,20609,서울시 동작구 노량진1동,37.5078229,126.947221
304,동작구,노량진2동,1159052000,6,21545,서울시 동작구 노량진2동,37.5080413,126.9390861
305,동작구,상도1동,1159053000,8,31889,서울시 동작구 상도1동,37.5032626,126.9506566
306,동작구,상도2동,1159054000,8,29867,서울시 동작구 상도2동,37.5062428,126.9409346
307,동작구,상도3동,1159055000,6,43402,서울시 동작구 상도3동,37.49907,126.9313649
308,동작구,상도4동,1159056000,6,39857,서울시 동작구 상도4동,37.4987343,126.9440592
309,동작구,흑석동,1159060500,8,21161,서울시 동작구 흑석동,37.5055033,126.962349
310,동작구,사당1동,1159062000,7,30413,서울시 동작구 사당1동,37.4798074,126.9772568
311,동작구,사당2동,1159063000,8,10287,서울시 동작구 사당2동,37.4798074,126.9772568
312,동작구,사당3동,1159064000,8,28298,서울시 동작구 사당3동,126.972019,37.4866716
313,동작구,사당4동,1159065000,7,39266,서울시 동작구 사당4동,37.4828227,126.9729446
314,동작구,사당5동,1159065100,7,22607,서울시 동작구 사당5동,126.966965,37.4856431
315,동작구,대방동,1159066000,7,25921,서울시 동작구 대방동,37.5060736,126.9281015
316,동작구,신대방1동,1159067000,8,42902,서울시 동작구 신대방1동,37.4896292,126.9097179
317,동작구,신대방2동,1159068000,7,20116,서울시 동작구 신대방2동,37.4984106,126.9245329
318,관악구,보라매동,1162052500,6,34863,서울시 관악구 보라매동,37.4902606,126.9323271
319,관악구,청림동,1162054500,8,54287,서울시 관악구 청림동,37.4892764,126.9590257
320,관악구,성현동,1162056500,7,45846,서울시 관악구 성현동,37.4893309,126.951059
321,관악구,행운동,1162057500,7,41751,서울시 관악구 행운동,37.4810602,126.9608566
322,관악구,낙성대동,1162058500,7,7763,서울시 관악구 낙성대동,37.4741601,126.9581815
323,관악구,청룡동,1162059500,6,29186,서울시 관악구 청룡동,37.478819,126.9454901
324,관악구,은천동,1162060500,7,45304,서울시 관악구 은천동,37.4865145,126.941524
325,관악구,중앙동,1162061500,6,40756,서울시 관악구 중앙동,37.483979,126.9505182
326,관악구,인헌동,1162062500,6,25081,서울시 관악구 인헌동,37.4725495,126.9662287
327,관악구,남현동,1162063000,7,5804,서울시 관악구 남현동,37.4641016,126.9777609
328,관악구,서원동,1162064500,6,37028,서울시 관악구 서원동,37.480314,126.9333544
329,관악구,신원동,1162065500,6,35895,서울시 관악구 신원동,37.4796847,126.9268568
330,관악구,서림동,1162066500,6,24585,서울시 관악구 서림동,37.4736271,126.9388285
331,관악구,신사동,1162068500,6,40563,서울시 관악구 신사동,37.4856907,126.9186591
332,관악구,신림동,1162069500,6,41713,서울시 관악구 신림동,37.4631968,126.9358124
333,관악구,난향동,1162071500,7,20493,서울시 관악구 난향동,37.4619905,126.918499
334,관악구,조원동,1162072500,6,29222,서울시 관악구 조원동,37.4828434,126.9076697
335,관악구,대학동,1162073500,6,2947,서울시 관악구 대학동,37.4590852,126.9442144
336,관악구,삼성동,1162074500,6,9483,서울시 관악구 삼성동,37.4649272,126.9305249
337,관악구,미성동,1162076500,6,23733,서울시 관악구 미성동,37.4760244,126.9159893
338,관악구,난곡동,1162077500,5,30117,서울시 관악구 난곡동,37.4708571,126.9212957
339,서초구,서초1동,1165051000,9,15196,서울시 서초구 서초1동,37.4878193,127.0195913
340,서초구,서초2동,1165052000,9,15191,서울시 서초구 서초2동,37.4895072,127.0279562
341,서초구,서초3동,1165053000,9,10563,서울시 서초구 서초3동,37.4861999,127.0095609
342,서초구,서초4동,1165053100,9,36350,서울시 서초구 서초4동,37.4989536,127.0199725
343,서초구,잠원동,1165054000,9,19961,서울시 서초구 잠원동,37.5151065,127.0137779
344,서초구,반포본동,1165055000,9,12069,서울시 서초구 반포본동,37.5039744,127.0007494
345,서초구,반포1동,1165056000,9,33237,서울시 서초구 반포1동,37.5057354,127.0168253
346,서초구,반포2동,1165057000,9,12137,서울시 서초구 반포2동,37.5046056,126.9952655
347,서초구,반포3동,1165058000,9,15930,서울시 서초구 반포3동,37.5104452,127.0066823
348,서초구,반포4동,1165058100,9,14148,서울시 서초구 반포4동,37.4996287,127.0024768
349,서초구,방배본동,1165059000,9,32216,서울시 서초구 방배본동,37.4948544,126.9880194
350,서초구,방배1동,1165060000,8,25034,서울시 서초구 방배1동,37.4848642,126.9961215
351,서초구,방배2동,1165061000,8,10859,서울시 서초구 방배2동,37.4748879,126.9880929
352,서초구,방배3동,1165062000,8,9356,서울시 서초구 방배3동,37.4760061,126.9961955
353,서초구,방배4동,1165062100,8,24574,서울시 서초구 방배4동,37.489857,126.990266
354,서초구,양재1동,1165065100,8,7976,서울시 서초구 양재1동,37.4708601,127.0270047
355,서초구,양재2동,1165065200,7,3056,서울시 서초구 양재2동,37.45892,127.0469555
356,서초구,내곡동,1165066000,7,1457,서울시 서초구 내곡동,37.4550628,127.0695079
357,강남구,신사동,1168051000,9,9284,서울시 강남구 신사동,37.5235332,127.0230659
358,강남구,논현1동,1168052100,7,19034,서울시 강남구 논현1동,37.512941,127.0265074
359,강남구,논현2동,1168053100,8,14901,서울시 강남구 논현2동,37.515162,127.0362055
360,강남구,압구정동,1168054500,9,10953,서울시 강남구 압구정동,37.5271478,127.0334517
361,강남구,청담동,1168056500,9,12927,서울시 강남구 청담동,37.5233931,127.0479736
362,강남구,삼성1동,1168058000,9,7691,서울시 강남구 삼성1동,37.5144266,127.0586503
363,강남구,삼성2동,1168059000,9,24737,서울시 강남구 삼성2동,37.5116021,127.0492348
