,gu,dong,code,income_level,pop_density,label,address
262,구로구,구로2동,1153053000,6.0,20005,0,서울특별시 구로구 구로2동
263,구로구,구로3동,1153054000,7.0,25775,1,서울특별시 구로구 구로3동
264,구로구,구로4동,1153055000,6.0,56998,1,서울특별시 구로구 구로4동
265,구로구,구로5동,1153056000,7.0,32452,1,서울특별시 구로구 구로5동
266,구로구,가리봉동,1153059500,5.0,38125,3,서울특별시 구로구 가리봉동
267,구로구,고척1동,1153072000,7.0,20847,0,서울특별시 구로구 고척1동
268,구로구,고척2동,1153073000,7.0,28382,1,서울특별시 구로구 고척2동
269,구로구,개봉1동,1153074000,6.0,25828,3,서울특별시 구로구 개봉1동
270,구로구,개봉2동,1153075000,7.0,41295,1,서울특별시 구로구 개봉2동
271,구로구,개봉3동,1153076000,6.0,27167,3,서울특별시 구로구 개봉3동
272,구로구,오류1동,1153077000,6.0,39483,3,서울특별시 구로구 오류1동
273,구로구,오류2동,1153078000,6.0,11630,0,서울특별시 구로구 오류2동
274,구로구,수궁동,1153079000,6.0,9322,0,서울특별시 구로구 수궁동
275,금천구,가산동,1154551000,6.0,9704,0,서울특별시 금천구 가산동
276,금천구,독산1동,1154561000,7.0,20976,0,서울특별시 금천구 독산1동
277,금천구,독산2동,1154562000,5.0,35675,3,서울특별시 금천구 독산2동
278,금천구,독산3동,1154563000,6.0,32517,3,서울특별시 금천구 독산3동
279,금천구,독산4동,1154564000,5.0,30893,3,서울특별시 금천구 독산4동
280,금천구,시흥1동,1154567000,6.0,21465,3,서울특별시 금천구 시흥1동
281,금천구,시흥2동,1154568000,7.0,17983,0,서울특별시 금천구 시흥2동
282,금천구,시흥3동,1154569000,6.0,10770,0,서울특별시 금천구 시흥3동
283,금천구,시흥4동,1154570000,6.0,25536,3,서울특별시 금천구 시흥4동
284,금천구,시흥5동,1154571000,6.0,15016,0,서울특별시 금천구 시흥5동
285,영등포구,영등포본동,1156051500,7.0,24326,0,서울특별시 영등포구 영등포본동
286,영등포구,영등포동,1156053500,8.0,21560,2,서울특별시 영등포구 영등포동
287,영등포구,여의동,1156054000,9.0,4119,2,서울특별시 영등포구 여의동
288,영등포구,당산1동,1156055000,7.0,28699,1,서울특별시 영등포구 당산1동
289,영등포구,당산2동,1156056000,8.0,23435,2,서울특별시 영등포구 당산2동
290,영등포구,도림동,1156058500,7.0,24216,0,서울특별시 영등포구 도림동
291,영등포구,문래동,1156060500,8.0,21452,2,서울특별시 영등포구 문래동
292,영등포구,양평1동,1156061000,7.0,20753,0,서울특별시 영등포구 양평1동
293,영등포구,양평2동,1156062000,8.0,7601,2,서울특별시 영등포구 양평2동
294,영등포구,신길1동,1156063000,6.0,29924,3,서울특별시 영등포구 신길1동
295,영등포구,신길3동,1156065000,7.0,36013,1,서울특별시 영등포구 신길3동
296,영등포구,신길4동,1156066000,6.0,28529,3,서울특별시 영등포구 신길4동
297,영등포구,신길5동,1156067000,6.0,22702,3,서울특별시 영등포구 신길5동
298,영등포구,신길6동,1156068000,7.0,28579,1,서울특별시 영등포구 신길6동
299,영등포구,신길7동,1156069000,8.0,26680,1,서울특별시 영등포구 신길7동
